model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"WOA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",59.5636,0.5956,0.002854,59.5676,0.6866,0.0035,0.0,0.0,0.6834,0.0057,13.9752,14.0738,0.6866,0.0195,0.001,0.0006,0.6834,0.0314,8.4972,8.6624
"WOA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",59.0469,0.5905,0.001061,59.0504,0.6789,0.0036,0.0,0.0,0.6787,0.0058,14.6174,14.407,0.6789,0.0201,0.001,0.0006,0.6787,0.0316,8.8692,8.8921
"WOA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",59.802,0.598,0.00163,59.8064,0.6412,0.0041,0.0,0.0,0.6398,0.0061,16.3075,16.2993,0.6412,0.0224,0.0011,0.0007,0.6398,0.0335,9.9414,9.997
"WOA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",58.5869,0.5859,0.001514,58.5894,0.6859,0.0036,0.0,0.0,0.6837,0.0057,14.0972,14.1612,0.6859,0.0196,0.001,0.0006,0.6837,0.0314,8.5633,8.7116
"WOA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",58.2796,0.5828,0.001282,58.2826,0.6847,0.0037,0.0,0.0,0.6847,0.0057,14.8156,14.7985,0.6847,0.0203,0.001,0.0006,0.6847,0.0313,8.9819,9.0843
"WOA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",58.4546,0.5845,0.001118,58.4582,0.66,0.0037,0.0,0.0,0.6598,0.0059,14.9323,14.6958,0.66,0.0206,0.0011,0.0007,0.6598,0.0326,9.0789,9.084
"WOA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",59.8005,0.598,0.001464,59.8038,0.6911,0.0035,0.0,0.0,0.6815,0.0057,13.5739,13.7825,0.6911,0.0192,0.001,0.0006,0.6815,0.0315,8.2776,8.5062
"WOA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",63.3638,0.6336,0.001842,63.3694,0.6752,0.0038,0.0,0.0,0.6752,0.0058,15.1647,15.1564,0.6752,0.0208,0.001,0.0006,0.6752,0.0318,9.2042,9.302
"WOA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",62.2304,0.6223,0.001804,62.2365,0.6272,0.0042,0.0,0.0,0.6246,0.0062,16.7886,16.578,0.6272,0.0231,0.0012,0.0007,0.6246,0.0342,10.2223,10.1902
"WOA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",59.4099,0.5941,0.001856,59.4128,0.6898,0.0035,0.0,0.0,0.6785,0.0058,13.6955,13.9539,0.6898,0.0194,0.001,0.0006,0.6785,0.0317,8.3557,8.6034
"WOA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",61.1036,0.611,0.001049,61.1072,0.6865,0.0036,0.0,0.0,0.6852,0.0057,14.4216,14.5438,0.6865,0.0199,0.001,0.0006,0.6852,0.0313,8.7534,8.9144
