model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"ABfoLS_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-abfols_{'epoch': 100, 'pop_size': 50, 'Ci': (0.1, 1e-05), 'Ped': 0.25, 'Ns': 4, 'N_minmax': (3, 40)}",30.4941,0.3049,0.000841,30.4967,0.8093,0.0163,0.0076,0.0026,0.805,0.0871,5.2838,5.7765,0.8093,17.5031,8747.096,0.1787,0.805,93.5259,4.9779,5.4687
"ABfoLS_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-abfols_{'epoch': 100, 'pop_size': 50, 'Ci': (0.1, 1e-05), 'Ped': 0.25, 'Ns': 4, 'N_minmax': (3, 40)}",70.2722,0.7027,0.001426,70.2745,0.9905,0.0073,0.0004,0.0001,0.9905,0.0192,3.9958,3.9831,0.9905,7.7977,426.6546,0.0028,0.9905,20.6556,3.7286,3.7181
"ABfoLS_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-abfols_{'epoch': 100, 'pop_size': 50, 'Ci': (0.1, 1e-05), 'Ped': 0.25, 'Ns': 4, 'N_minmax': (3, 40)}",252.44,2.5244,0.003492,252.4448,0.9276,0.0158,0.0029,0.0011,0.9247,0.0541,5.4295,5.6201,0.9276,16.9502,3376.9086,0.012,0.9247,58.1112,5.1346,5.3269
"ABfoLS_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-abfols_{'epoch': 100, 'pop_size': 50, 'Ci': (0.1, 1e-05), 'Ped': 0.25, 'Ns': 4, 'N_minmax': (3, 40)}",29.2672,0.2927,0.000819,29.2691,-436317.6088,9.0919,17062.2647,0.0095,-438420.8755,130.6226,996.6657,6.6469,-436317.6088,9760.3715,19663434779.4576,0.3709,-438420.8755,140226.3698,990.4604,6.3143
"ABfoLS_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-abfols_{'epoch': 100, 'pop_size': 50, 'Ci': (0.1, 1e-05), 'Ped': 0.25, 'Ns': 4, 'N_minmax': (3, 40)}",68.1951,0.682,0.001458,68.1974,0.9764,0.0087,0.0009,0.0003,0.9763,0.0304,4.2528,4.2016,0.9764,9.3572,1064.9694,0.0038,0.9763,32.6339,3.9785,3.9301
"ABfoLS_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-abfols_{'epoch': 100, 'pop_size': 50, 'Ci': (0.1, 1e-05), 'Ped': 0.25, 'Ns': 4, 'N_minmax': (3, 40)}",207.1528,2.0715,0.003332,207.1574,-0.1785,0.0239,0.046,0.0047,-0.1822,0.2145,6.1796,5.2377,-0.1785,25.624,53022.6169,0.0184,-0.1822,230.2664,5.8856,4.9497
"ABfoLS_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-abfols_{'epoch': 100, 'pop_size': 50, 'Ci': (0.1, 1e-05), 'Ped': 0.25, 'Ns': 4, 'N_minmax': (3, 40)}",30.868,0.3087,0.001162,30.8701,-2.1481,0.0391,0.1238,0.0045,-2.18,0.3518,7.9336,6.7149,-2.1481,41.9759,142622.4364,0.4343,-2.18,377.6539,7.598,6.3964
"ABfoLS_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-abfols_{'epoch': 100, 'pop_size': 50, 'Ci': (0.1, 1e-05), 'Ped': 0.25, 'Ns': 4, 'N_minmax': (3, 40)}",60.5695,0.6057,0.001818,60.5724,0.7522,0.0151,0.0097,0.0017,0.7503,0.0986,5.1094,4.7269,0.7522,16.2231,11198.0371,0.0076,0.7503,105.8208,4.815,4.4372
"ABfoLS_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-abfols_{'epoch': 100, 'pop_size': 50, 'Ci': (0.1, 1e-05), 'Ped': 0.25, 'Ns': 4, 'N_minmax': (3, 40)}",216.4396,2.1644,0.003586,216.4446,-0.0108,0.0295,0.0396,0.005,-0.018,0.199,7.4061,6.046,-0.0108,31.6881,45658.4648,0.0833,-0.018,213.6784,7.0823,5.7434
"ABfoLS_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-abfols_{'epoch': 100, 'pop_size': 50, 'Ci': (0.1, 1e-05), 'Ped': 0.25, 'Ns': 4, 'N_minmax': (3, 40)}",30.1747,0.3017,0.000956,30.1765,0.9288,0.0128,0.0028,0.001,0.9271,0.0533,4.9708,5.1633,0.9288,13.7291,3270.0247,0.009,0.9271,57.1841,4.6592,4.8515
