model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1011.9111,0.2024,3.955825,1015.8709,0.99,0.0078,0.0003,0.0001,0.9896,0.0185,4.6561,4.734,0.99,8.3614,393.5112,0.0035,0.9896,19.8371,4.3421,4.406
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1129.4088,0.2259,5.505633,1134.9163,0.9814,0.0094,0.0006,0.0002,0.9806,0.0252,4.6928,4.7223,0.9814,10.0544,732.0165,0.0037,0.9806,27.0558,4.3954,4.4258
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1145.4097,0.2291,5.487585,1150.8997,0.9874,0.0085,0.0004,0.0002,0.9867,0.0209,4.6515,4.7192,0.9874,9.1344,502.9863,0.0035,0.9867,22.4274,4.3498,4.4086
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1145.4808,0.2291,5.45338,1150.9388,0.9906,0.0074,0.0003,0.0001,0.9905,0.0177,4.3476,4.3495,0.9906,7.9621,359.5422,0.003,0.9905,18.9616,4.0625,4.0633
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1089.271,0.2179,7.776488,1097.049,0.9908,0.0073,0.0003,0.0001,0.9907,0.0175,4.3888,4.3994,0.9908,7.8148,352.8719,0.003,0.9907,18.7849,4.1001,4.106
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1093.3087,0.2187,8.226436,1101.5395,0.9913,0.0076,0.0003,0.0001,0.9909,0.0173,4.9698,5.0819,0.9913,8.1913,345.065,0.0039,0.9909,18.5759,4.6359,4.7294
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1178.7776,0.2358,8.612107,1187.3935,0.9899,0.0079,0.0003,0.0001,0.9899,0.0182,5.04,4.9183,0.9899,8.4918,381.5262,0.0036,0.9899,19.5327,4.6889,4.5891
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1283.7082,0.2567,10.167536,1293.8772,0.985,0.0087,0.0005,0.0002,0.9845,0.0226,4.6111,4.6671,0.985,9.2966,587.1899,0.0035,0.9845,24.232,4.3129,4.3608
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1279.2543,0.2559,9.855111,1289.1114,0.9893,0.0082,0.0004,0.0001,0.9893,0.0187,4.9435,4.8334,0.9893,8.7739,404.0065,0.0035,0.9893,20.0999,4.6096,4.5186
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1290.5071,0.2581,10.21675,1300.7284,0.9895,0.0077,0.0003,0.0001,0.9894,0.0186,4.4482,4.4377,0.9895,8.3006,400.0662,0.0031,0.9894,20.0017,4.1583,4.1473
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1458.8528,0.2918,13.132444,1471.9882,0.9808,0.0097,0.0007,0.0002,0.9801,0.0256,4.8343,4.8104,0.9808,10.3969,753.2609,0.0038,0.9801,27.4456,4.5233,4.5119
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1463.5794,0.2927,12.323526,1475.9063,0.9855,0.0089,0.0005,0.0002,0.9849,0.0223,4.7553,4.7339,0.9855,9.567,571.1821,0.0036,0.9849,23.8994,4.4461,4.435
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1455.4661,0.2911,12.54499,1468.0138,0.9887,0.0082,0.0004,0.0002,0.9881,0.0198,4.5357,4.5678,0.9887,8.8092,449.6243,0.0032,0.9881,21.2043,4.2429,4.2728
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1580.0231,0.316,13.858709,1593.8831,0.9842,0.0089,0.0005,0.0002,0.9837,0.0231,4.647,4.6337,0.9842,9.54,615.2751,0.0035,0.9837,24.8047,4.3498,4.3428
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1679.2536,0.3359,15.440691,1694.6964,0.9879,0.0084,0.0004,0.0002,0.9875,0.0203,4.5338,4.5316,0.9879,8.9847,472.6577,0.0034,0.9875,21.7407,4.2438,4.2469
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1653.5272,0.3307,14.152641,1667.683,0.991,0.0079,0.0003,0.0001,0.991,0.0172,5.7083,5.5189,0.991,8.473,340.7312,0.0043,0.991,18.4589,5.2879,5.1323
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1842.2643,0.3685,15.656415,1857.9246,0.99,0.0078,0.0003,0.0001,0.9896,0.0185,4.5877,4.6449,0.99,8.3604,393.2962,0.0033,0.9896,19.8317,4.281,4.3281
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1766.6398,0.3533,16.827466,1783.4731,0.9883,0.0083,0.0004,0.0002,0.9877,0.0201,4.6927,4.7571,0.9883,8.8989,463.6806,0.0035,0.9877,21.5332,4.3844,4.44
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1783.173,0.3566,16.105269,1799.2815,0.9892,0.008,0.0004,0.0001,0.9886,0.0193,4.8128,4.9183,0.9892,8.6349,430.2689,0.0037,0.9886,20.7429,4.4851,4.5721
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",2027.7445,0.4055,19.557089,2047.3029,0.9877,0.0084,0.0004,0.0002,0.9875,0.0203,4.7277,4.6623,0.9877,9.061,472.5818,0.0034,0.9875,21.7389,4.4127,4.3629
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",2039.6413,0.4079,18.736313,2058.3825,0.9864,0.0088,0.0005,0.0002,0.9857,0.0217,4.6515,4.7,0.9864,9.4405,542.7698,0.0035,0.9857,23.2974,4.3555,4.4009
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",1976.9135,0.3954,18.611919,1995.5284,0.9907,0.0075,0.0003,0.0001,0.9906,0.0176,4.6485,4.6969,0.9907,8.1048,357.5039,0.0034,0.9906,18.9078,4.3343,4.3709
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",2185.9066,0.4372,21.10192,2207.01,0.9842,0.0095,0.0005,0.0002,0.984,0.0229,5.4454,5.3313,0.9842,10.1945,606.9712,0.0042,0.984,24.6368,5.0668,4.9793
