model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",39.6439,0.3964,0.000887,39.6463,-4.9898,0.0434,0.2347,0.0033,-5.0307,0.4845,8.1606,5.7684,-4.9898,46.5995,270481.958,0.3267,-5.0307,520.0788,7.8463,5.477
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",86.7364,0.8674,0.001725,86.7397,0.623,0.0155,0.0147,0.002,0.6218,0.1213,5.0231,4.6282,0.623,16.625,16964.003,0.0089,0.6218,130.2459,4.7468,4.3527
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",338.7441,3.3874,0.003411,338.7494,0.8706,0.0174,0.005,0.0015,0.8705,0.071,5.6892,5.707,0.8706,18.6874,5808.4387,0.0724,0.8705,76.2131,5.3895,5.4125
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",40.0368,0.4004,0.001006,40.0394,0.9463,0.0133,0.0022,0.0008,0.9442,0.0466,5.1407,5.2913,0.9463,14.2502,2501.9825,0.0068,0.9442,50.0198,4.8216,4.972
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",91.9978,0.92,0.001658,92.0012,-1151.4651,0.5102,45.1061,0.0042,-1158.0202,6.7161,59.1116,6.1185,-1151.4651,547.6648,51982620.7318,0.4285,-1158.0202,7209.8974,58.5101,5.8392
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",342.4874,3.4249,0.003645,342.4927,-16.6203,0.1118,0.6968,0.009,-16.9053,0.8348,16.9244,9.5053,-16.6203,119.9753,803060.9043,1.0448,-16.9053,896.1367,16.5582,9.2219
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",42.4376,0.4244,0.000955,42.4403,-0.3077,0.0293,0.0515,0.0046,-0.3242,0.227,6.835,6.7184,-0.3077,31.5066,59391.2314,0.4359,-0.3242,243.7032,6.5079,6.4024
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",97.6437,0.9764,0.001845,97.6468,0.9799,0.0103,0.0008,0.0003,0.9793,0.0284,4.5223,4.5778,0.9799,11.0388,927.4148,0.004,0.9793,30.4535,4.2466,4.2977
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",343.7702,3.4377,0.003618,343.7763,-8.2228,0.0567,0.3589,0.0098,-8.223,0.5991,16.9769,6.294,-8.2228,60.8175,413655.8728,0.1607,-8.223,643.1608,16.4341,5.9999
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",43.4302,0.4343,0.000962,43.4325,0.9602,0.0109,0.0016,0.0006,0.9588,0.04,4.7786,4.8812,0.9602,11.7525,1845.9232,0.0054,0.9588,42.9642,4.4653,4.5675
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",96.3715,0.9637,0.00169,96.3742,0.6906,0.0213,0.0123,0.0024,0.6852,0.1107,5.6902,5.1636,0.6906,22.8814,14120.3747,0.0102,0.6852,118.8292,5.4099,4.8884
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",347.7315,3.4773,0.003448,347.7366,-4.0603,0.0308,0.1975,0.0016,-4.0738,0.4444,8.3209,5.6175,-4.0603,33.0738,227560.9671,0.134,-4.0738,477.0335,7.9999,5.3333
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",45.1667,0.4517,0.001049,45.169,-0.2573,0.0318,0.0497,0.0051,-0.2775,0.223,7.1802,7.2451,-0.2573,34.1822,57294.2888,0.3838,-0.2775,239.3623,6.8519,6.9217
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",94.9465,0.9495,0.001676,94.9497,0.6589,0.0195,0.0135,0.0024,0.6539,0.1161,5.5576,5.0088,0.6589,20.9229,15521.0703,0.0098,0.6539,124.5836,5.2671,4.7272
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",351.6851,3.5169,0.003614,351.6908,-162221225161825.84,151133.1254,6336078848123.429,2.8152,-162808139629769.03,2517156.8978,17121375.0677,7.134,-162221225161825.78,162244886.171,7.302024406016231e+18,3.1269,-162808139629769.06,2702225824.393,17016268.4472,6.8648
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",41.8111,0.4181,0.001082,41.8143,0.5528,0.0219,0.0177,0.0035,0.5446,0.1331,6.1402,6.5292,0.5528,23.4678,20425.4329,0.2958,0.5446,142.9176,5.8096,6.2027
