model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",88.4718,0.8847,0.001726,88.4751,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0072,2.0095,0.9975,7.7766,114.392,0.0004,0.9975,10.6954,1.4154,1.417
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",201.031,2.0103,0.003171,201.0365,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.956,1.9563,0.9976,7.5701,108.0093,0.0003,0.9976,10.3928,1.3773,1.3778
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",1096.3681,10.9637,0.006865,1096.378,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8912,1.8899,0.9978,7.3553,101.6957,0.0003,0.9978,10.0844,1.3317,1.3314
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",86.2832,0.8628,0.001741,86.2864,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0,2.0019,0.9975,7.7562,114.0652,0.0004,0.9975,10.6801,1.4106,1.4121
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",205.6764,2.0568,0.002939,205.6814,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.9577,1.9576,0.9976,7.5784,108.1734,0.0003,0.9976,10.4006,1.3784,1.3788
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",1100.4434,11.0044,0.010424,1100.457,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8885,1.8876,0.9978,7.3397,100.9501,0.0003,0.9978,10.0474,1.3297,1.3296
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",90.6907,0.9069,0.00158,90.6939,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0148,2.0169,0.9975,7.8,115.2512,0.0004,0.9975,10.7355,1.4205,1.4221
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",205.4487,2.0545,0.002727,205.453,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.9601,1.9598,0.9976,7.5816,108.1713,0.0003,0.9976,10.4005,1.3799,1.3803
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",1119.7822,11.1978,0.011427,1119.796,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8981,1.8971,0.9978,7.3737,101.8429,0.0003,0.9978,10.0917,1.3364,1.3362
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",90.447,0.9045,0.001926,90.4502,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0095,2.0116,0.9975,7.7847,114.5269,0.0004,0.9975,10.7017,1.4169,1.4185
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",215.18,2.1518,0.003022,215.185,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9506,1.9509,0.9976,7.5614,107.6941,0.0003,0.9976,10.3776,1.374,1.3745
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",987.3939,9.8739,0.00732,987.4045,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8846,1.8834,0.9978,7.3446,101.4258,0.0003,0.9978,10.071,1.3281,1.3278
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",85.0744,0.8507,0.001796,85.0775,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0103,2.012,0.9975,7.788,114.998,0.0004,0.9975,10.7237,1.4174,1.4188
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",210.1767,2.1018,0.003253,210.1819,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9445,1.9448,0.9976,7.5368,106.8634,0.0003,0.9976,10.3375,1.3695,1.37
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",942.3474,9.4235,0.006686,942.3569,0.9978,0.0061,0.0001,0.0,0.9978,0.0083,1.8812,1.8797,0.9978,7.3134,99.9088,0.0003,0.9978,9.9954,1.3245,1.3241
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",85.7763,0.8578,0.002016,85.7796,0.9974,0.0065,0.0001,0.0,0.9974,0.009,2.0262,2.0271,0.9974,7.8493,116.5006,0.0004,0.9974,10.7935,1.4288,1.4301
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",205.3861,2.0539,0.00285,205.3907,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9545,1.9544,0.9976,7.5662,107.956,0.0003,0.9976,10.3902,1.3762,1.3767
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",919.4674,9.1947,0.006798,919.4782,0.9978,0.0061,0.0001,0.0,0.9978,0.0083,1.881,1.8794,0.9978,7.3093,100.1606,0.0003,0.9978,10.008,1.324,1.3236
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",81.6925,0.8169,0.001705,81.6957,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0063,2.0081,0.9975,7.7768,114.5882,0.0004,0.9975,10.7046,1.4149,1.4163
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",195.1609,1.9516,0.00341,195.1659,0.9977,0.0063,0.0001,0.0,0.9977,0.0086,1.9534,1.9539,0.9977,7.5505,106.7054,0.0003,0.9977,10.3298,1.3753,1.376
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",1025.4405,10.2544,0.010065,1025.4553,0.9977,0.0062,0.0001,0.0,0.9977,0.0084,1.8997,1.8989,0.9977,7.3977,102.4679,0.0003,0.9977,10.1226,1.3385,1.3384
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",85.673,0.8567,0.001609,85.6762,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0022,2.0038,0.9975,7.7557,113.7608,0.0004,0.9975,10.6659,1.4116,1.413
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",196.5396,1.9654,0.003223,196.5446,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.9589,1.9591,0.9976,7.605,108.9419,0.0003,0.9976,10.4375,1.3804,1.3809
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",899.0743,8.9907,0.006326,899.0856,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8907,1.8893,0.9978,7.3493,101.2456,0.0003,0.9978,10.0621,1.3314,1.3311
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",82.0333,0.8203,0.001699,82.0363,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0142,2.016,0.9975,7.8032,115.1407,0.0004,0.9975,10.7304,1.4203,1.4218
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",187.7696,1.8777,0.00283,187.7741,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.9586,1.9589,0.9976,7.5786,108.0342,0.0003,0.9976,10.394,1.3791,1.3797
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",895.3688,8.9537,0.006536,895.378,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8948,1.8936,0.9978,7.3727,102.023,0.0003,0.9978,10.1006,1.3349,1.3346
