model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3815.4923,3.8155,62.16072655,3877.6734,0.9952,0.009,0.0001,0.0001,0.9949,0.0122,2.9779,2.9501,0.9952,10.8527,213.9883,0.0007,0.9949,14.6283,2.025,2.0233
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",5853.2343,5.8532,65.33983397,5918.5776,0.9955,0.0087,0.0001,0.0001,0.9954,0.0116,2.9521,2.9141,0.9955,10.4119,192.9514,0.0006,0.9954,13.8907,1.988,1.9814
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",9351.4466,9.3514,65.25467706,9416.7081,0.9961,0.0084,0.0001,0.0001,0.9955,0.0115,2.5834,2.5839,0.9961,10.072,191.2571,0.0005,0.9955,13.8296,1.8032,1.8108
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4129.0034,4.129,75.17843008,4204.1839,0.9954,0.0093,0.0002,0.0001,0.9943,0.0129,2.7272,2.7392,0.9954,11.1501,241.8423,0.0006,0.9943,15.5513,1.9318,1.9456
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",6113.9201,6.1139,76.69857216,6190.6322,0.9949,0.0096,0.0002,0.0001,0.9942,0.013,3.0551,3.0348,0.9949,11.492,243.0661,0.0007,0.9942,15.5906,2.0941,2.0969
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",9715.9223,9.7159,81.01435018,9796.9538,0.9958,0.0085,0.0001,0.0001,0.9957,0.0112,2.9984,2.949,0.9958,10.1691,179.6338,0.0007,0.9957,13.4028,1.9959,1.9847
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4365.6878,4.3657,87.60260081,4453.2924,0.9957,0.0086,0.0001,0.0001,0.9957,0.0112,3.1284,3.0715,0.9957,10.3897,180.6055,0.0007,0.9957,13.439,2.0759,2.0613
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",6347.0626,6.3471,90.39734149,6437.4646,0.995,0.0093,0.0002,0.0001,0.9944,0.0127,2.9478,2.9308,0.995,11.226,233.7626,0.0007,0.9944,15.2893,2.0311,2.0342
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",9912.0626,9.9121,93.91961598,10005.9989,0.995,0.0093,0.0001,0.0001,0.9949,0.0122,3.3496,3.2833,0.995,11.2216,215.2513,0.0008,0.9949,14.6714,2.2131,2.1983
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4623.0342,4.623,109.0387578,4732.0748,0.9938,0.0104,0.0002,0.0001,0.9934,0.0138,3.501,3.4506,0.9938,12.4865,275.8295,0.0009,0.9934,16.6081,2.3538,2.3473
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",6630.6453,6.6306,97.47246599,6728.1216,0.9954,0.0089,0.0001,0.0001,0.9954,0.0116,3.1297,3.0763,0.9954,10.6485,195.4708,0.0007,0.9954,13.9811,2.0841,2.0721
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",10213.3156,10.2133,103.39730048,10316.7317,0.9957,0.0085,0.0001,0.0001,0.9955,0.0115,2.789,2.7663,0.9957,10.2087,191.1153,0.0006,0.9955,13.8244,1.9007,1.8999
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4893.984,4.894,117.2568295,5011.2431,0.9956,0.0087,0.0001,0.0001,0.9955,0.0114,3.0815,3.0329,0.9956,10.4751,189.1373,0.0007,0.9955,13.7527,2.0546,2.0442
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",6925.1455,6.9251,114.89493251,7040.0442,0.9946,0.0097,0.0002,0.0001,0.9945,0.0127,3.3997,3.3369,0.9946,11.5945,231.2489,0.0008,0.9945,15.2069,2.2587,2.2453
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",10762.1752,10.7622,116.18562436,10878.3751,0.994,0.0105,0.0002,0.0001,0.993,0.0143,3.2675,3.2477,0.994,12.6401,295.1236,0.0008,0.993,17.1792,2.2539,2.2591
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1824.1175,1.8241,64.73383427,1888.8525,0.9959,0.0086,0.0001,0.0001,0.9952,0.0118,2.6856,2.6818,0.9959,10.3089,199.9258,0.0006,0.9952,14.1395,1.8641,1.8706
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2465.5094,2.4655,66.5673151,2532.0802,0.9965,0.0077,0.0001,0.0001,0.9965,0.0101,2.7484,2.7075,0.9965,9.2512,147.5326,0.0006,0.9965,12.1463,1.8353,1.825
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3361.9225,3.3619,69.58204269,3431.5112,0.9954,0.0088,0.0001,0.0001,0.9953,0.0117,3.0925,3.0416,0.9954,10.5918,195.977,0.0007,0.9953,13.9992,2.0608,2.05
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1902.6411,1.9026,72.30598426,1974.9492,0.9961,0.008,0.0001,0.0001,0.996,0.0107,2.7325,2.703,0.9961,9.6534,166.318,0.0006,0.996,12.8964,1.8497,1.8444
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2536.503,2.5365,74.89078593,2611.3974,0.9959,0.0091,0.0002,0.0001,0.9946,0.0125,2.6451,2.6641,0.9959,10.8932,226.4996,0.0006,0.9946,15.0499,1.8844,1.9002
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3424.486,3.4245,73.85433936,3498.3477,0.9962,0.0081,0.0001,0.0001,0.9959,0.011,2.6379,2.6199,0.9962,9.716,173.292,0.0005,0.9959,13.164,1.8041,1.8043
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2035.9783,2.036,86.77751994,2122.7577,0.9952,0.009,0.0001,0.0001,0.9951,0.0119,3.1459,3.0984,0.9952,10.8293,204.3073,0.0007,0.9951,14.2936,2.1018,2.0928
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2577.1617,2.5772,63.2469759,2640.4125,0.9951,0.0091,0.0001,0.0001,0.995,0.0121,3.1782,3.1274,0.9951,10.966,209.843,0.0007,0.995,14.486,2.1221,2.1121
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4930.2216,4.9302,67.29950094,4997.5271,0.9949,0.0093,0.0002,0.0001,0.9948,0.0123,3.273,3.2146,0.9949,11.2041,218.7174,0.0008,0.9948,14.7891,2.1757,2.1636
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2220.3311,2.2203,91.79409432,2312.1269,0.9953,0.009,0.0001,0.0001,0.9951,0.012,3.0035,2.9702,0.9953,10.7577,208.0363,0.0007,0.9951,14.4235,2.0314,2.0275
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2831.3929,2.8314,86.92131066,2918.3188,0.9959,0.0083,0.0001,0.0001,0.9958,0.011,2.8965,2.8544,0.9959,9.9857,174.6639,0.0006,0.9958,13.216,1.9401,1.931
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3717.7227,3.7177,93.55484629,3811.284,0.9957,0.0085,0.0001,0.0001,0.9957,0.0112,3.0565,3.003,0.9957,10.2586,181.266,0.0007,0.9957,13.4635,2.0275,2.015
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2346.8207,2.3468,96.99756885,2443.8204,0.9958,0.0084,0.0001,0.0001,0.9957,0.0113,2.8646,2.8319,0.9958,10.1126,182.6612,0.0006,0.9957,13.5152,1.9337,1.9285
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2915.3222,2.9153,97.13331676,3012.4603,0.9954,0.0088,0.0001,0.0001,0.9954,0.0116,3.0728,3.0254,0.9954,10.5939,195.5928,0.0007,0.9954,13.9855,2.0544,2.0447
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3753.7554,3.7538,99.1082902,3852.8717,0.996,0.0083,0.0001,0.0001,0.996,0.0109,3.0482,2.9886,0.996,10.0111,170.2644,0.0007,0.996,13.0485,2.01,1.9948
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2481.9041,2.4819,113.07668519,2594.9831,0.9956,0.0087,0.0001,0.0001,0.9955,0.0114,3.0392,2.9931,0.9956,10.4129,187.8146,0.0007,0.9955,13.7045,2.0315,2.0217
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3067.5346,3.0675,107.89055753,3175.4291,0.9955,0.0089,0.0001,0.0001,0.9949,0.0122,2.8083,2.7962,0.9955,10.7137,214.0402,0.0006,0.9949,14.6301,1.939,1.9431
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3907.106,3.9071,108.21100569,4015.3238,0.9953,0.0089,0.0001,0.0001,0.9952,0.0118,3.1179,3.0657,0.9953,10.7301,201.4905,0.0007,0.9952,14.1947,2.0805,2.0691
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2654.9643,2.655,120.19006491,2775.1563,0.9961,0.008,0.0001,0.0001,0.996,0.0107,2.7352,2.7069,0.9961,9.6567,166.7648,0.0006,0.996,12.9137,1.8503,1.8459
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3254.2554,3.2543,112.98285651,3367.2417,0.9952,0.0094,0.0001,0.0001,0.9952,0.0118,3.5728,3.4803,0.9952,11.2332,202.6066,0.0009,0.9952,14.234,2.3269,2.3009
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4062.8904,4.0629,126.12857103,4189.0274,0.9953,0.0095,0.0002,0.0001,0.9941,0.0131,2.8254,2.8289,0.9953,11.4232,246.2348,0.0006,0.9941,15.6919,1.9892,2.0003
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2827.4186,2.8274,125.04477167,2952.4655,0.995,0.0095,0.0001,0.0001,0.995,0.0121,3.5496,3.4658,0.995,11.3653,209.93,0.0009,0.995,14.489,2.3236,2.3014
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3431.9553,3.432,127.69604683,3559.655,0.9954,0.0088,0.0001,0.0001,0.9953,0.0116,3.1073,3.0573,0.9954,10.6161,195.849,0.0007,0.9953,13.9946,2.0706,2.0602
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4208.5887,4.2086,127.18523765,4335.7812,0.9958,0.0085,0.0001,0.0001,0.9958,0.011,3.1201,3.0567,0.9958,10.203,175.0226,0.0007,0.9958,13.2296,2.0563,2.0396
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2927.6293,2.9276,137.99808288,3065.6297,0.996,0.0081,0.0001,0.0001,0.9958,0.0111,2.6525,2.6355,0.996,9.7737,176.9681,0.0005,0.9958,13.3029,1.818,1.8181
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3490.5977,3.4906,134.28116536,3624.8834,0.995,0.0097,0.0002,0.0001,0.9939,0.0133,2.9249,2.9242,0.995,11.6437,256.6931,0.0007,0.9939,16.0216,2.046,2.0562
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4284.9166,4.2849,134.28476048,4419.2057,0.9948,0.0095,0.0002,0.0001,0.9946,0.0126,3.3087,3.2528,0.9948,11.4442,228.3341,0.0008,0.9946,15.1107,2.204,2.1938
