"GRU-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",996.0767,0.9961,0.7403605,996.8188,0.9962,0.0079,0.0001,0.0001,0.9962,0.0106,2.7348,2.7042,0.9962,9.5384,161.6138,0.0006,0.9962,12.7127,1.8441,1.8386
"GRU-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1630.8695,1.6309,1.00312018,1631.8778,0.9958,0.0093,0.0002,0.0001,0.9944,0.0128,2.7436,2.7603,0.9958,11.2303,235.4483,0.0006,0.9944,15.3443,1.9501,1.9657
"GRU-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2858.5326,2.8585,1.02360296,2859.5772,0.995,0.0097,0.0002,0.0001,0.9941,0.0132,3.0026,2.9918,0.995,11.6316,249.7029,0.0007,0.9941,15.802,2.079,2.0856
"GRU-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1132.6364,1.1326,3.25213528,1135.8905,0.9943,0.01,0.0002,0.0001,0.994,0.0133,3.3992,3.3499,0.9943,12.0111,253.4354,0.0008,0.994,15.9197,2.2828,2.2755
"GRU-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1746.234,1.7462,3.57814384,1749.8157,0.9947,0.0102,0.0002,0.0001,0.9934,0.0139,3.0315,3.035,0.9947,12.2384,279.2974,0.0007,0.9934,16.7122,2.1314,2.1442
"GRU-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3239.9497,3.2399,3.73251295,3243.6904,0.995,0.0094,0.0002,0.0001,0.9945,0.0127,3.0755,3.0457,0.995,11.326,232.1424,0.0007,0.9945,15.2362,2.0916,2.0906
"GRU-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1205.0372,1.205,7.4202354,1212.459,0.9955,0.009,0.0001,0.0001,0.9955,0.0115,3.3049,3.2367,0.9955,10.7638,191.3532,0.0008,0.9955,13.833,2.1771,2.1593
"GRU-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1983.6474,1.9836,8.50327659,1992.1541,0.996,0.0091,0.0002,0.0001,0.9947,0.0125,2.6426,2.6607,0.996,10.8718,223.8221,0.0006,0.9947,14.9607,1.8829,1.8981
"GRU-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3677.9879,3.678,8.60229635,3686.5993,0.9954,0.0091,0.0002,0.0001,0.9947,0.0125,2.7877,2.7836,0.9954,10.8952,224.7226,0.0006,0.9947,14.9908,1.9401,1.9477
"GRU-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1333.0181,1.333,12.60393167,1345.6249,0.9951,0.0092,0.0002,0.0001,0.9945,0.0126,2.93,2.9159,0.9951,11.0945,229.4213,0.0007,0.9945,15.1467,2.0171,2.0213
"GRU-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2446.224,2.4462,12.94003034,2459.1665,0.9956,0.0087,0.0001,0.0001,0.9956,0.0113,3.1505,3.091,0.9956,10.4488,183.9934,0.0007,0.9956,13.5644,2.0853,2.0703
