model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",122.4409,1.2244,0.002532,122.4464,0.9977,0.0063,0.0001,0.0,0.9977,0.0086,1.9514,1.9505,0.9977,7.543,106.6246,0.0003,0.9977,10.3259,1.3732,1.3734
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",125.3638,1.2536,0.003301,125.371,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8912,1.892,0.9978,7.3559,101.1054,0.0003,0.9978,10.0551,1.3316,1.3321
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",125.8089,1.2581,0.002141,125.8122,0.9975,0.0064,0.0001,0.0,0.9975,0.0088,1.9916,1.9928,0.9975,7.726,112.896,0.0004,0.9975,10.6253,1.4044,1.4056
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",129.4184,1.2942,0.0029,129.4241,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9507,1.9505,0.9976,7.5631,106.9348,0.0003,0.9976,10.3409,1.3738,1.3742
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",133.7653,1.3377,0.00255,133.7719,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8976,1.8978,0.9978,7.374,102.0713,0.0003,0.9978,10.103,1.3351,1.3354
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",122.3233,1.2232,0.002111,122.3268,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0077,2.0098,0.9975,7.7838,114.5988,0.0004,0.9975,10.7051,1.416,1.4176
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",124.9985,1.25,0.003477,125.0044,0.9977,0.0063,0.0001,0.0,0.9977,0.0086,1.9511,1.9512,0.9977,7.5446,106.5354,0.0003,0.9977,10.3216,1.3731,1.3735
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",130.7729,1.3077,0.005294,130.7824,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8955,1.8951,0.9978,7.3586,101.3107,0.0003,0.9978,10.0653,1.3333,1.3334
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",116.9388,1.1694,0.00193,116.9427,0.9975,0.0065,0.0001,0.0,0.9975,0.009,2.0206,2.023,0.9975,7.8219,115.7091,0.0004,0.9975,10.7568,1.4248,1.4264
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",117.8528,1.1785,0.002204,117.8593,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9507,1.9492,0.9976,7.5489,106.7726,0.0003,0.9976,10.3331,1.3724,1.3723
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",121.4931,1.2149,0.002454,121.5005,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8979,1.8977,0.9978,7.3693,101.6408,0.0003,0.9978,10.0817,1.3353,1.3355
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",115.2561,1.1526,0.002553,115.2601,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0051,2.0072,0.9975,7.7814,114.7581,0.0004,0.9975,10.7125,1.4146,1.4161
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",116.9743,1.1697,0.003049,116.9806,0.9977,0.0063,0.0001,0.0,0.9977,0.0085,1.9329,1.9335,0.9977,7.5104,105.4683,0.0003,0.9977,10.2698,1.3622,1.3628
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",121.4198,1.2142,0.004491,121.4314,0.9977,0.0062,0.0001,0.0,0.9977,0.0084,1.9017,1.9025,0.9977,7.3993,102.6268,0.0003,0.9977,10.1305,1.3391,1.3397
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",126.7867,1.2679,0.002013,126.7908,0.9975,0.0064,0.0001,0.0,0.9975,0.0089,1.9975,1.9994,0.9975,7.7476,113.3682,0.0004,0.9975,10.6475,1.4088,1.4102
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",128.8685,1.2887,0.003341,128.8781,0.9977,0.0062,0.0001,0.0,0.9977,0.0085,1.9292,1.9278,0.9977,7.4833,104.9645,0.0003,0.9977,10.2452,1.3582,1.3582
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",133.9629,1.3396,0.004143,133.9722,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8914,1.8916,0.9978,7.3477,101.2568,0.0003,0.9978,10.0626,1.3306,1.3309
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",122.7084,1.2271,0.003109,122.7129,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0088,2.0106,0.9975,7.787,114.5653,0.0004,0.9975,10.7035,1.4167,1.4182
