model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"OppoTwo_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",49.8173,0.4982,0.001349,49.8197,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2395,4.2327,0.9956,10.9818,235.577,0.0017,0.9956,15.3485,2.915,2.9167
"OppoTwo_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",120.6398,1.2064,0.002542,120.6438,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.1899,4.1852,0.9957,10.8195,228.6648,0.0017,0.9957,15.1217,2.8797,2.8819
"OppoTwo_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",468.7237,4.6872,0.007528,468.7337,0.9958,0.0111,0.0002,0.0001,0.9958,0.0155,4.1852,4.1829,0.9958,10.7409,223.0314,0.0017,0.9958,14.9342,2.8698,2.8727
"OppoTwo_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",50.3578,0.5036,0.001495,50.361,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2597,4.249,0.9956,10.9948,235.4483,0.0017,0.9956,15.3443,2.926,2.9266
"OppoTwo_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",116.0819,1.1608,0.00321,116.0868,0.9957,0.0113,0.0002,0.0001,0.9957,0.0157,4.1929,4.1899,0.9957,10.8916,230.7302,0.0017,0.9957,15.1898,2.8865,2.8891
"OppoTwo_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",483.8398,4.8384,0.00541,483.849,0.9958,0.0111,0.0002,0.0001,0.9958,0.0155,4.1791,4.1787,0.9958,10.7024,223.0205,0.0017,0.9958,14.9339,2.8618,2.8654
"OppoTwo_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",59.3808,0.5938,0.002305,59.3844,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2568,4.2496,0.9956,10.9963,236.0786,0.0017,0.9956,15.3648,2.9251,2.9269
"OppoTwo_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",149.8211,1.4982,0.003775,149.8273,0.9956,0.0113,0.0002,0.0001,0.9956,0.0158,4.1765,4.1718,0.9956,10.876,231.6816,0.0017,0.9956,15.2211,2.8754,2.8776
"OppoTwo_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",598.3435,5.9834,0.009067,598.3556,0.9959,0.011,0.0002,0.0001,0.9959,0.0153,4.1361,4.1346,0.9959,10.6658,219.7057,0.0016,0.9959,14.8225,2.8378,2.8408
"OppoTwo_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",54.6893,0.5469,0.00138,54.6916,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2532,4.2448,0.9956,11.0007,236.4282,0.0017,0.9956,15.3762,2.9235,2.9246
"OppoTwo_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",141.8087,1.4181,0.002631,141.8128,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.1898,4.1843,0.9957,10.8225,230.8163,0.0017,0.9957,15.1926,2.8783,2.8804
"OppoTwo_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",584.5079,5.8451,0.005865,584.5156,0.9959,0.011,0.0002,0.0001,0.9959,0.0153,4.1481,4.1473,0.9959,10.6332,218.1804,0.0016,0.9959,14.7709,2.8414,2.8449
"OppoTwo_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",64.8982,0.649,0.002166,64.9021,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2383,4.232,0.9956,10.9707,235.2619,0.0017,0.9956,15.3382,2.9135,2.9155
"OppoTwo_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",140.0305,1.4003,0.004759,140.0382,0.9957,0.0112,0.0002,0.0001,0.9956,0.0158,4.1884,4.1809,0.9957,10.8185,231.4706,0.0017,0.9956,15.2142,2.8772,2.8785
"OppoTwo_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",596.6568,5.9666,0.008263,596.6703,0.9958,0.0111,0.0002,0.0001,0.9958,0.0155,4.1746,4.1706,0.9958,10.7305,223.1243,0.0016,0.9958,14.9373,2.8601,2.8625
"OppoTwo_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",64.3393,0.6434,0.001995,64.3424,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.251,4.2431,0.9956,10.9935,235.5343,0.0017,0.9956,15.3471,2.9216,2.9233
"OppoTwo_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",148.7001,1.487,0.002862,148.7057,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.1941,4.1835,0.9957,10.8158,229.0815,0.0017,0.9957,15.1354,2.8808,2.8805
"OppoTwo_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",603.7358,6.0374,0.009379,603.747,0.9958,0.011,0.0002,0.0001,0.9958,0.0154,4.1561,4.1522,0.9958,10.6432,221.046,0.0016,0.9958,14.8676,2.8457,2.848
"OppoTwo_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",63.8511,0.6385,0.002234,63.8558,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2674,4.2599,0.9956,11.0133,236.2858,0.0017,0.9956,15.3716,2.9293,2.9313
"OppoTwo_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",148.8452,1.4885,0.002805,148.85,0.9957,0.0113,0.0002,0.0001,0.9957,0.0157,4.2018,4.1975,0.9957,10.8732,229.6783,0.0017,0.9957,15.1551,2.8895,2.8919
"OppoTwo_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",593.5566,5.9356,0.005897,593.5654,0.9959,0.011,0.0002,0.0001,0.9959,0.0154,4.156,4.1494,0.9959,10.6514,219.7507,0.0016,0.9959,14.824,2.8454,2.8466
"OppoTwo_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",63.4516,0.6345,0.001929,63.455,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2458,4.2374,0.9956,10.9814,235.1232,0.0017,0.9956,15.3337,2.9184,2.9198
"OppoTwo_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",133.9552,1.3396,0.004035,133.9606,0.9956,0.0113,0.0003,0.0001,0.9956,0.0159,4.221,4.2149,0.9956,10.9151,234.4434,0.0017,0.9956,15.3115,2.9006,2.9025
"OppoTwo_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",598.756,5.9876,0.008103,598.7673,0.9958,0.0111,0.0002,0.0001,0.9958,0.0154,4.1638,4.1627,0.9958,10.6831,221.1429,0.0016,0.9958,14.8709,2.8518,2.8551
"OppoTwo_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",67.0476,0.6705,0.002184,67.0515,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2335,4.2257,0.9956,10.9799,235.3559,0.0017,0.9956,15.3413,2.9123,2.9138
"OppoTwo_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",158.7819,1.5878,0.004212,158.7882,0.9956,0.0113,0.0002,0.0001,0.9956,0.0158,4.2033,4.1986,0.9956,10.8903,231.471,0.0017,0.9956,15.2142,2.8903,2.8927
"OppoTwo_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",628.3781,6.2838,0.009404,628.3905,0.9959,0.011,0.0002,0.0001,0.9959,0.0153,4.1512,4.147,0.9959,10.6429,219.5617,0.0016,0.9959,14.8176,2.8431,2.8455
