model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"ELM-sliding_3-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0086,,0.0012114,0.0109,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0147,,0.0016737,0.0178,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0062,,0.00137091,0.0088,0.9957,0.0119,0.0003,0.0001,0.9957,0.0166,4.2148,4.2091,0.9957,11.4844,257.8343,0.0018,0.9957,16.0572,2.9228,2.9253
"ELM-sliding_3-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0088,,0.0012424,0.0111,0.9957,0.012,0.0003,0.0001,0.9956,0.0168,4.2158,4.2438,0.9957,11.5692,262.9621,0.0018,0.9956,16.2161,2.9309,2.9469
"ELM-sliding_5-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0146,,0.00172091,0.018,0.9959,0.0117,0.0003,0.0001,0.9958,0.0164,4.162,4.188,0.9959,11.3251,252.0472,0.0018,0.9958,15.876,2.8856,2.8998
"ELM-sliding_2-net_para_{'hidden_size': (500, False), 'activation': 0}",0.0068,,0.00095701,0.0091,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (500, False), 'activation': 0}",0.0084,,0.00114179,0.0107,0.9958,0.0119,0.0003,0.0001,0.9957,0.0166,4.2025,4.211,0.9958,11.4837,258.4659,0.0018,0.9957,16.0769,2.9179,2.9256
"ELM-sliding_5-net_para_{'hidden_size': (500, False), 'activation': 0}",0.014,,0.00153756,0.0177,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (1000, False), 'activation': 0}",0.0065,,0.00089741,0.0083,0.9957,0.0121,0.0003,0.0001,0.9957,0.0167,4.3234,4.2796,0.9957,11.6507,260.0961,0.0018,0.9957,16.1275,2.9882,2.9731
"ELM-sliding_3-net_para_{'hidden_size': (1000, False), 'activation': 0}",0.0085,,0.00114393,0.0106,0.9957,0.0123,0.0003,0.0001,0.9956,0.0169,4.4297,4.3639,0.9957,11.8542,265.9722,0.0019,0.9956,16.3087,3.0538,3.0292
"ELM-sliding_5-net_para_{'hidden_size': (1000, False), 'activation': 0}",0.0144,,0.0024128,0.0182,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.0064,,0.00092697,0.0083,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.0083,,0.00113845,0.0111,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.0145,,0.0024066,0.0183,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.2049,4.1758,0.9959,11.2909,248.2111,0.0018,0.9959,15.7547,2.9016,2.8933
"ELM-sliding_2-net_para_{'hidden_size': (10, False), 'activation': 0}",0.0044,,0.00092363,0.0061,0.9958,0.0121,0.0003,0.0001,0.9957,0.0167,4.4191,4.3541,0.9958,11.729,260.6026,0.0019,0.9957,16.1432,3.0386,3.0162
"ELM-sliding_3-net_para_{'hidden_size': (10, False), 'activation': 0}",0.0074,,0.00124669,0.0101,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (10, False), 'activation': 0}",0.0117,,0.00153017,0.0145,0.9959,0.012,0.0003,0.0001,0.9956,0.0169,4.2087,4.252,0.9959,11.5968,265.0428,0.0018,0.9956,16.2801,2.9255,2.9489
