model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",60.9497,0.6095,0.001389,60.9526,0.9955,0.0114,0.0003,0.0001,0.9955,0.0159,4.249,4.2397,0.9955,10.9991,236.7737,0.0017,0.9955,15.3875,2.9205,2.9217
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",140.1748,1.4017,0.002186,140.1783,0.9956,0.0113,0.0002,0.0001,0.9956,0.0158,4.1941,4.1909,0.9956,10.8716,232.0274,0.0017,0.9956,15.2324,2.8849,2.8878
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",621.7517,6.2175,0.007704,621.7613,0.9959,0.011,0.0002,0.0001,0.9959,0.0153,4.1578,4.157,0.9959,10.6564,219.2627,0.0016,0.9959,14.8075,2.8457,2.8492
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",61.5369,0.6154,0.001342,61.5403,0.9955,0.0114,0.0003,0.0001,0.9955,0.016,4.2416,4.2339,0.9955,11.0274,238.5128,0.0017,0.9955,15.4439,2.919,2.9204
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",141.0773,1.4108,0.002831,141.0817,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.1716,4.1666,0.9957,10.812,230.2862,0.0017,0.9957,15.1752,2.8686,2.8709
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",609.2555,6.0926,0.009223,609.2678,0.9959,0.011,0.0002,0.0001,0.9959,0.0154,4.1513,4.1494,0.9959,10.6488,220.1852,0.0016,0.9959,14.8386,2.8418,2.845
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",60.191,0.6019,0.001637,60.1942,0.9955,0.0114,0.0003,0.0001,0.9955,0.0159,4.2624,4.2546,0.9955,11.0129,236.8692,0.0017,0.9955,15.3906,2.9287,2.9304
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",137.4109,1.3741,0.002504,137.4154,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.1655,4.1597,0.9957,10.8306,231.1836,0.0017,0.9957,15.2047,2.8682,2.8701
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",609.3146,6.0931,0.006247,609.3238,0.9959,0.011,0.0002,0.0001,0.9959,0.0153,4.1314,4.1297,0.9959,10.6164,218.8888,0.0016,0.9959,14.7949,2.8309,2.8337
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",57.9795,0.5798,0.001262,57.9825,0.9955,0.0114,0.0003,0.0001,0.9955,0.0159,4.2632,4.2555,0.9955,11.0139,237.0327,0.0017,0.9955,15.3959,2.929,2.9307
